Realised,,,,,,,,
,,,,,,,,
stock_name,ISIN,Quantity,avg_buy_price,buy_value,avg_sell_price,sell_value,realized_pnl,realized_pnl_percentage
BAJAJ FINSERV LTD.,INE918I01026,1,1591.9,1591.9,1596.75,1596.75,4.85,0.30%
BHARAT DYNAMICS LIMITED,INE171Z01026,6,1326.79,7960.75,1403.5,8421,460.25,5.78%
BHARAT ELECTRONICS LTD,INE263A01024,1,235.1,235.1,235.25,235.25,0.15,0.06%
BHARAT PETROLEUM CORP  LT,INE029A01011,1,310.6,310.6,316.85,316.85,6.25,2.01%
BHEL,INE257A01026,2,274.05,548.1,312.85,625.7,77.6,14.16%
ETERNAL LIMITED,INE758T01015,63,208.37,13127.08,236.22,14881.84,1754.76,13.37%
GAIL (INDIA) LTD,INE129A01019,1,211.35,211.35,223,223,11.65,5.51%
HDFC BANK LTD,INE040A01034,1,1500,1500,1622.05,1622.05,122.05,8.14%
HINDALCO  INDUSTRIES  LTD,INE038A01020,1,649.15,649.15,653.2,653.2,4.05,0.62%
HINDUSTAN AERONAUTICS LTD,INE066F01020,1,4628,4628,4930,4930,302,6.53%
INDIAN OIL CORP LTD,INE242A01010,3,155.57,466.72,155.42,466.25,-0.47,-0.10%
INDIAN RAIL TOUR CORP LTD,INE335Y01020,2,966.98,1933.95,986.43,1972.85,38.9,2.01%
INDIAN RAILWAY FIN CORP L,INE053F01010,2,160.77,321.55,178.98,357.96,36.41,11.32%
MAZAGON DOCK SHIPBUIL LTD,INE249Z01020,2,2386.02,4772.04,2656.15,5312.3,540.26,11.32%
NETLINK SOLUTIONS (INDIA) LTD.,INE040F01033,1,132,132,140.8,140.8,8.8,6.67%
NHPC LTD,INE848E01016,172,82.53,14195.76,87.75,15093.13,897.37,6.32%
OIL AND NATURAL GAS CORP.,INE213A01029,4,277.7,1110.8,289.56,1158.25,47.45,4.27%
PNC INFRATECH LTD.,INE195J01029,9,502.84,4525.6,524.17,4717.55,191.95,4.24%
POWER GRID CORP. LTD.,INE752E01010,2,299.25,598.5,320.88,641.75,43.25,7.23%
PUNJAB NATIONAL BANK,INE160A01022,21,110.31,2316.42,113.66,2386.87,70.45,3.04%
RAIL VIKAS NIGAM LIMITED,INE415G01027,3,377.7,1133.1,378.27,1134.8,1.7,0.15%
RELIANCE INDUSTRIES LTD,INE002A01018,1,1291.8,1291.8,1304.45,1304.45,12.65,0.98%
RELIANCE POWER LTD.,INE614G01033,6,27.95,167.7,28.05,168.3,0.6,0.36%
TATA MOTORS DVR  A  ORD,IN9155A01020,1,637.7,637.7,682.1,682.1,44.4,6.96%
TATA MOTORS LIMITED,INE155A01022,1,966.8,966.8,999.45,999.45,32.65,3.38%
TATA STEEL LIMITED,INE081A01020,1,160.85,160.85,167.7,167.7,6.85,4.26%
UNION BANK OF INDIA,INE692A01016,1,140.1,140.1,148.3,148.3,8.2,5.85%
VEDANTA LIMITED,INE205A01025,1,382.75,382.75,401.3,401.3,18.55,4.85%
VISHAL MEGA MART LIMITED,INE01EA01019,7,109.43,766.01,124.52,871.64,105.63,13.79%
VODAFONE IDEA LIMITED,INE669E01016,60,12.79,767.28,13.48,808.5,41.22,5.37%
Total,,,,67549.46,,72439.89,4890.43,7.24%
